x;y;low;up
Carduelis carduelis;-0.079;-0.1485;-0.0107
Chloris chloris;-0.038;-0.1185;0.041
Curruca communis;-0.091;-0.1806;-0.0032
Curruca melanocephala;-0.00004;-0.0677;0.0694
Erithacus rubecula;0.015;-0.0178;0.0479
Ficedula hypoleuca;-0.007;-0.0434;0.0283
Fringilla coelebs;-0.031;-0.1221;0.0585
Parus major;0.038;-0.0518;0.1274
Phylloscopus collybita;-0.023;-0.0393;-0.007
Serinus serinus;0.051;-0.0359;0.1375
Sylvia atricapilla;-0.009;-0.029;0.011
Sylvia borin;0.017;-0.0162;0.051
Turdus merula;0.167;0.0492;0.2844
Turdus philomelos;0.055;-0.0324;0.1431
